CDIAC Number,Issuer,Issuance Documents,Sold Status,Sale Date,ADTR Report,ADTR Filing Status,ADTR Reportable,ADTR Reportable Next Fiscal Year,ADTR Last Reported Year,Debt Policy,Issuer County,MKR Authority,Local Obligation,MKR CDIAC Number,Issuer Group,Issuer Type,Project Name,Principal Amount,New Money,Refunding Amount,Net Issue Discount/Premium,Debt Type,Purpose,Source of Repayment,TIC Interest Rate,NIC Interest Rate,Interest Type,Other Interest Type,Federally Taxable,First Optional Call Date,Final Maturity Date,CAB Flag,S and P Rating,Moody Rating,Fitch Rating,Other Rating,Guarantor Flag,Guarantor,Sale Type (Comp/Neg),Private Placement Flag,Underwriter,Lender,Purchaser,Placement Agent,Financial Advisor,Co-Financial Advisor,Bond Counsel Fee,Bond Counsel,Co-Bond Counsel,Disclosure Counsel,Borrower Counsel,Trustee,Issue Costs Pct of Principal Amt,Total Issuance Costs,UW Takedown,UW Mngmt Fee,UW Expenses,UW Total Discount/Spread,Placement Agent Fee,Financial Advisor Fee,Co-Bond Counsel Fee,Disclosure Counsel Fee,Borrower Counsel Fee,Trustee Fee,Credit Enhancement Fee,Rating Agency Fee,Other Issuance Expenses
1999-0553,Oakland,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,07/13/1999 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Cities,City Government,,60000000,60000000,0,,Tax and revenue anticipation note,"Cash Flow, Interim Financing",General fund of issuing jurisdiction,,4.25,NIC,,,,09/29/2000 12:00:00 AM,N/A,S:SP-1+,M:MIG1,F:F1+,NOT RATED,,,Comp,Unknown,Salomon Smith Barney,,,,The PFM Group/Public Financial Management Inc,,,Brown & Wood,,,,Chase Bank Securities of Texas,0.27,160000,,,,0,,,,,,,,,
1994-0620,Dublin Joint Unified School District,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,06/02/1994 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,K-14 Schools,K-12 School District,,2300000,2300000,0,,Tax and revenue anticipation note,"Cash Flow, Interim Financing",General fund of issuing jurisdiction,,3.9,NIC,,,,07/05/1995 12:00:00 AM,N/A,S:SP-1+,NOT RATED,NOT RATED,NOT RATED,,,Comp,Unknown,State Street Bank & Trust Company,,,,KNN/Kelling Northcross & Nobriga Inc,,,Jones Hall Hill & White,,,,,0,0,,,,64060,,,,,,,,,
2006-0796,Oakland,2006-0796.pdf (http://cdiacdocs.sto.ca.gov/2006-0796.pdf),SOLD,06/14/2006 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Cities,City Government,Museum & Zoo Measure G,21000000,21000000,0,203553,General obligation bond,"Parks, Open Space",Property tax revenues,,4.613,NIC,,,01/15/2016 12:00:00 AM,01/15/2036 12:00:00 AM,NO,S:AAA/A+,M:Aaa/A1,F:AAA/A+,NOT RATED,Ins,Ambac,Comp,Unknown,Bear Stearns & Company,,,,The PFM Group/Public Financial Management Inc,,27000,Squire Sanders & Dempsey,,,,The Bank of New York Trust Company,1.83,383500,1000,,2000,103750,,51500,,,,3000,97400,29000,68850
1987-0505,Fremont,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,07/21/1987 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Cities,City Government,,8000000,8000000,0,,Tax and revenue anticipation note,"Cash Flow, Interim Financing",Tax increment,,4.888,NIC,,,,07/29/1988 12:00:00 AM,N/A,NOT RATED,M:MIG1,NOT RATED,NOT RATED,,,Neg,Unknown,Kelling Northcross & Nobriga Inc,,,,,,,Jones Hall Hill & White,,,,,0.1,8158,,,,8956,,,,,,,,,
2001-2044,San Leandro,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,11/29/2001 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Cities,City Government,,5020000,5020000,0,,Certificates of participation/leases,"Redevelopment, Multiple Purposes",General fund of issuing jurisdiction,,4.938,NIC,,,12/01/2010 12:00:00 AM,12/01/2026 12:00:00 AM,NO,S:AAA/A+,NOT RATED,NOT RATED,NOT RATED,Ins,Municipal Bond Investors Assurance Corporation,Neg,Unknown,E Wagner & Associates Inc,,,,,,32500,Jones Hall A Professional Law Corp,,,,US Bank Corporate Trust Services,4.03,202452,,,,75300,,,,17500,,4150,53000,7500,12502
1990-0350,Livermore,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,05/23/1990 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Cities,City Government,Diablo Vista Apts,6950000,0,6950000,,Conduit revenue bond,Multifamily Housing,Private obligor payments,,,VAR,,,,05/01/2020 12:00:00 AM,N/A,S:AA-/A-1+,NOT RATED,NOT RATED,NOT RATED,LOC,Guarantor Unknown,Neg,Unknown,Union Bank Los Angeles,,,,Caine Gressel,,,Jones Hall Hill & White,,,,,0,0,,,,69500,,,,,,,,,
1985-1197,Alameda,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,10/30/1985 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Cities,City Government,Marina Village AD No 84-3,9100000,9100000,0,,Special assessment bond,"Multiple Capital Improvements, Public Works",Special assessments,,10.063,NIC,,,,,N/A,NOT RATED,NOT RATED,NOT RATED,NOT RATED,Ins,Unknown,Neg,Unknown,Stone & Youngberg,,,,,,,Jones Hall Hill & White,,,,,0,0,,,,318500,,,,,,,,,
1988-0897,Alameda County Transportation Commission,None Submitted (http://cdiacdocs.sto.ca.gov/NoneSubmitted.pdf),SOLD,12/07/1988 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Special Districts,Transit Authority,,50500000,50500000,0,,Bond anticipation note,Public Transit,Tax increment,,6.614,NIC,,,,12/01/1992 12:00:00 AM,N/A,S:SP-1+,M:MIG1,NOT RATED,NOT RATED,,,Comp,Unknown,Goldman Sachs & Company,,,,Grigsby Brandford & Company Inc,,,Brown & Wood,,,,,0.64,325000,,,,0,,,,,,,,,
1986-0043,Emeryville Redevelopment Agency,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,03/04/1986 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Cities,Redevelopment Agency,,830000,830000,0,,Revenue anticipation note,"Cash Flow, Interim Financing",Tax increment,,6.42,NIC,,,,02/01/1987 12:00:00 AM,N/A,NOT RATED,NOT RATED,NOT RATED,O:none,,,Neg,Unknown,Stone & Youngberg,,,,,,,Jones Hall Hill & White,,,,,0,0,,,,14110,,,,,,,,,
1987-0985,Alameda County Industrial Development Authority,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,12/21/1987 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Special Districts,Industrial Development  Authority,,1700000,1700000,0,,Conduit revenue bond,Industrial Development,Tax increment,,,VAR,,Subject to Alternative Minimum Tax,,,N/A,NOT RATED,M:Aa2,NOT RATED,NOT RATED,LOC,Unknown,Neg,Unknown,Bank of America NT & SA,,,,,,,Hunter & Anderson,,,,,4.15,70549,,,,11900,,,,,,,,,
1998-2029,Fremont,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,08/18/1998 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,YES,1998-1639,Cities,City Government,,5280000,0,5280000,,Other bond,"Multiple Capital Improvements, Public Works",General fund of issuing jurisdiction,4.637,,TIC,,Federally Taxable,,08/01/2013 12:00:00 AM,N/A,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Comp,Unknown,Tri-City Waste Facilities Financing Authority,,,,KNN/Kelling Northcross & Nobriga Inc,,,Quint & Thimmig LLP,,,,Dai-Ichi Kangyo Bank of California,0,0,,,,0,,,,,,,,,
1986-0560,Berkeley,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,10/09/1986 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Cities,City Government,Berkeley Civic Imp,31535000,0,31535000,0,Certificates of participation/leases,Public Building,General fund of issuing jurisdiction,,,,,,,,NO,S:AAA,NOT RATED,NOT RATED,NOT RATED,Ins,Unknown,Neg,Unknown,PaineWebber Inc,,,,Ehrlich Bober,,0,Burke Robinson,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-3040,Dublin Unified School District,2016-3040.pdf (http://cdiacdocs.sto.ca.gov/2016-3040.pdf),SOLD,11/10/2016 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,K-14 Schools,K-12 School District,Series A,60000000,60000000,0,3913998.2,General obligation bond,K-12 School Facility,Property tax revenues,3.475,3.629,,,,08/01/2026 12:00:00 AM,08/01/2046 12:00:00 AM,NO,S:AA,M:Aa1,NOT RATED,NOT RATED,,,Comp,NO,FTN Financial Capital Markets,,,,KNN Public Finance,,30000,Jones Hall A Professional Law Corp,,,,U.S. Bank National Association,0.57,343594.2,0,0,0,124740,0,93000,0,23250,0,1550,0,61501.67,9552.53
1996-1007,Oakland,None Submitted (http://cdiacdocs.sto.ca.gov/NoneSubmitted.pdf),SOLD,06/12/1996 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Cities,City Government,,55000000,55000000,0,,Tax and revenue anticipation note,"Cash Flow, Interim Financing",General fund of issuing jurisdiction,3.901,,TIC,,,,06/30/1997 12:00:00 AM,N/A,S:SP-1+,M:MIG1,F:F-1+,NOT RATED,,,Comp,Unknown,Lehman Brothers,,,,The PFM Group/Public Financial Management Inc,,,Brown & Wood,,,,US Trust Company of California NA,0,0,,,,0,,,,,,,,,
2016-2757,Successor Agency to the Livermore Redevelopment Agency,2016-2757.pdf (http://cdiacdocs.sto.ca.gov/2016-2757.pdf),SOLD,11/22/2016 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Cities,Successor Agency,Series B,1010000,0,1010000,0,Tax allocation bond,"Redevelopment, Multiple Purposes",Tax increment,1.25,0,,,Federally Taxable,,08/01/2017 12:00:00 AM,NO,S:AA/A+,NOT RATED,NOT RATED,NOT RATED,Ins,Build America Mutual Assurance Company/BAM,Comp,NO,Wells Fargo Bank National Association,,,,KNN Public Finance,,2770,Jones Hall A Professional Law Corp,,Jones Hall A Professional Law Corp,,MUFG/Mitsubishi UFG Union Bank,3.39,34199.01,11330.82,0,0,11330.82,0,2770,0,1915,0,245,8295,936,5937.19
2001-1229,Chabot-Las Positas Community College District (CCCFA),Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,06/05/2001 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,K-14 Schools,Community College District,CCCFA 2001 TRAN Pool,3160000,3160000,,,Tax and revenue anticipation note,"Cash Flow, Interim Financing",General fund of issuing jurisdiction,2.6,,TIC,,,,06/28/2002 12:00:00 AM,N/A,S:SP-1+,NOT RATED,NOT RATED,NOT RATED,Ins,Financial Security Assurance Inc,Neg,Unknown,Lehman Brothers,,,,Sutro & Company Inc,,,Stradling Yocca Carlson & Rauth,,,,Wells Fargo Bank National Association,,,,,,,,,,,,,,,
1988-0913,Fremont,None Submitted (http://cdiacdocs.sto.ca.gov/NoneSubmitted.pdf),SOLD,10/25/1988 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Cities,City Government,LID No 14,2840000,0,2840000,,Special assessment bond,"Multiple Capital Improvements, Public Works",Tax increment,,7.692,NIC,,,,,N/A,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,Sutro & Company Inc,,,,,,,Sturgis Ness Brunsell & Sperry,,,,,1.53,43340,,,,56800,,,,,,,,,
1989-1028,Port of Oakland,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,11/17/1989 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Special Districts,Harbor Port District,Airport/ports & marinas,75000000,75000000,0,,Commercial paper,"Multiple Capital Improvements, Public Works",Public enterprise revenues,,,VAR,,Subject to Alternative Minimum Tax,,11/17/1990 12:00:00 AM,N/A,S:A-1+,M:P-1,NOT RATED,NOT RATED,,,Neg,Unknown,Shearson Lehman Hutton Inc,,,,Grigsby Brandford & Company Inc,,,Harrison Taylor & Brazile,,,,,0.31,233000,,,,0,,,,,,,,,
2002-1102,Fremont,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,06/19/2002 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Cities,City Government,Consolidated Local ID 25 & 40,4660000,0,4660000,,Special assessment bond,"Multiple Capital Improvements, Public Works",Special assessments,4.741,,TIC,,,,09/02/2011 12:00:00 AM,N/A,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,IBIS Securities LLC,,,,KNN/Kelling Northcross & Nobriga Inc,,,Jones Hall A Professional Law Corp,,,,BNY Mellon Capital Markets LLC,2.83,132063,,,,69900,,,,,,,,,
1991-0544,Albany,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,07/16/1991 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Cities,City Government,,2000000,2000000,0,,Tax and revenue anticipation note,"Cash Flow, Interim Financing",General fund of issuing jurisdiction,5.16,,TIC,,,,07/29/1992 12:00:00 AM,N/A,NOT RATED,M:MIG1,NOT RATED,NOT RATED,,,Comp,Unknown,Bank of California,,,,KNN/Kelling Northcross & Nobriga Inc,,,Jones Hall Hill & White,,,,,0,0,,,,0,,,,,,,,,
1995-0032,ABAG Finance Corporation,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,03/16/1995 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,JPA & Marks-Roos,Joint Powers Agency,Davis,2410000,1828500,581500,,Certificates of participation/leases,Recreation and Sports Facilities,General fund of issuing jurisdiction,,6.357,NIC,,,,03/01/2016 12:00:00 AM,N/A,S:BBB+,NOT RATED,NOT RATED,NOT RATED,,,Comp,Unknown,Stone & Youngberg,,,,KNN/Kelling Northcross & Nobriga Inc,,,Jones Hall Hill & White,,,,Seattle-First National Bank,3.24,77991,,,,37278,,,,,,,,,
1985-1602,Berkeley,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,12/18/1985 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Cities,City Government,Alta Bates Hospital Series B & C,25000000,25000000,0,0,Conduit revenue bond,Hospital,Private obligor payments,,,VAR,,,,12/01/2015 12:00:00 AM,NO,NOT RATED,NOT RATED,NOT RATED,NOT RATED,LOC,Unknown,Neg,Unknown,Goldman Sachs & Company,,,,,,0,Orrick Herrington & Sutcliffe LLP,,,,,1.03,256250,0,0,0,218750,0,0,0,0,0,0,0,0,0
2000-0016,Port of Oakland,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,09/16/1999 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Special Districts,Harbor Port District,Series E,150000000,150000000,0,,Commercial paper,"Multiple Capital Improvements, Public Works",Public enterprise revenues,,,VAR,,,,03/16/2001 12:00:00 AM,N/A,S:A-1+,NOT RATED,F:F1+,NOT RATED,LOC,Bank of America NT & SA,Neg,Unknown,Goldman Sachs & Company,,,,Fullerton & Friar Inc,,,O'Melveny & Myers,,,,US Bank Corporate Trust Services,0,0,,,,0,,,,,,,,,
1992-1191,Alameda County Board of Education,None Submitted (http://cdiacdocs.sto.ca.gov/NoneSubmitted.pdf),SOLD,09/28/1992 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Counties,County Board of Education,,4300000,4300000,0,,Tax and revenue anticipation note,"Cash Flow, Interim Financing",General fund of issuing jurisdiction,,2.89,NIC,,,,10/01/1993 12:00:00 AM,N/A,NOT RATED,M:MIG1,NOT RATED,NOT RATED,,,Neg,Unknown,Dean Witter Reynolds Inc,,,,Redwood SecuritiesGroup Inc,,,Brown & Wood,,,,,0.01,500,,,,1806,,,,,,,,,
1989-1128,Alameda,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,11/29/1989 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,YES,1998-2170,Cities,City Government,Marina Village AD 89-1,36168180,0,36168180,,Special assessment bond,"Multiple Capital Improvements, Public Works",Special assessments,,7.638,NIC,,,,,N/A,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,Stone & Youngberg,,,,,,,Jones Hall Hill & White,,,,,0,0,,,,521906.08,,,,,,,,,
2015-2157,Washington Township Health Care District,2015-2157.pdf (http://cdiacdocs.sto.ca.gov/2015-2157.pdf),SOLD,10/30/2015 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Special Districts,Hospital District,Series A,30290000,-1745000,32035000,2270657.4,Public enterprise revenue bond,Hospital,Public enterprise revenues,3.199,0,,,,07/01/2025 12:00:00 AM,07/01/2029 12:00:00 AM,NO,NOT RATED,M:Baa1,NOT RATED,NOT RATED,,,Neg,NO,Merrill Lynch Pierce Fenner & Smith,,,,Gordon Howie,,84000,Nixon Peabody LLP,,,,U.S. Bank National Association,1.74,525657.4,0,0,0,158450,0,4200,0,75000,0,3375,0,28800,171832.4
1993-0717,San Lorenzo Unified School District,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,06/10/1993 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,K-14 Schools,K-12 School District,,4500000,4500000,0,,Tax and revenue anticipation note,"Cash Flow, Interim Financing",Property tax revenues,,2.65,NIC,,,,06/30/1994 12:00:00 AM,N/A,NOT RATED,M:MIG1,NOT RATED,NOT RATED,,,Neg,Unknown,Oppenheimer & Company Inc,,,,KNN/Kelling Northcross & Nobriga Inc,,,Jones Hall Hill & White,,,,,0.11,4800,,,,0,,,,,,,,,
1994-1681,Oakland,1994-1681.pdf (http://cdiacdocs.sto.ca.gov/1994-1681.pdf),SOLD,12/01/1994 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Cities,City Government,Fire Area Utility Underground AD 1994-1,3420000,3420000,0,,Special assessment bond,"Other Capital Improvements, Public Works",Special assessments,,10.17,NIC,,Federally Taxable,,09/02/2014 12:00:00 AM,N/A,S:BBB+,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,Rauscher Pierce Refsness Inc,,,,,,,Brown & Wood,,,,First Trust of California NA,2.59,88541,,,,41040,,,,,,,,,
1986-0375,Hayward,None Submitted (http://cdiacdocs.sto.ca.gov/NoneSubmitted.pdf),SOLD,06/19/1986 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Cities,City Government,,7200000,7200000,0,,Tax and revenue anticipation note,"Cash Flow, Interim Financing",General fund of issuing jurisdiction,,4.75,NIC,,,,07/02/1987 12:00:00 AM,N/A,NOT RATED,M:MIG1,NOT RATED,NOT RATED,,,Neg,Unknown,Kelling Northcross & Nobriga Inc,,,,,,,Jones Hall Hill & White,,,,,0,0,,,,7920,,,,,,,,,
1992-0569,Union City (CA LOCAL GOVERNMENTS),Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,06/19/1992 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Cities,City Government,Pooled TRAN,3100000,3100000,0,,Tax and revenue anticipation note,"Cash Flow, Interim Financing",Property tax revenues,3.31,,TIC,,,,06/30/1993 12:00:00 AM,N/A,S:SP-1+,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,Sutro & Company Inc,,,,,,,Jones Hall Hill & White,,,,,0,0,,,,0,,,,,,,,,
1993-0197,Livermore,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,04/21/1993 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Cities,City Government,Police Bldg/Golf Course,17875000,17875000,0,,Certificates of participation/leases,"Multiple Capital Improvements, Public Works",General fund of issuing jurisdiction,,5.951,NIC,,,,,N/A,S:A-(p),NOT RATED,NOT RATED,NOT RATED,,,Comp,Unknown,Stone & Youngberg,,,,KNN/Kelling Northcross & Nobriga Inc,,,Jones Hall Hill & White,,,,,0.2,35263.05,,,,0,,,,,,,,,
1989-0556,Union City,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,07/25/1989 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Cities,City Government,,3000000,3000000,0,,Tax and revenue anticipation note,"Cash Flow, Interim Financing",General fund of issuing jurisdiction,,6.361,NIC,,,,08/02/1990 12:00:00 AM,N/A,NOT RATED,M:MIG1,NOT RATED,NOT RATED,,,Neg,Unknown,Bank of California,,,,KNN/Kelling Northcross & Nobriga Inc,,,Jones Hall Hill & White,,,,,0,0,,,,0,,,,,,,,,
1987-0363,Livermore,None Submitted (http://cdiacdocs.sto.ca.gov/NoneSubmitted.pdf),SOLD,04/27/1987 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Cities,City Government,Kitty Hawk AD No 1987-1,3010000,0,3010000,,Special assessment bond,Street Construction and Improvements,Tax increment,,8.287,NIC,,,,,N/A,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,Wulff Hansen & Company,,,,,,,Sturgis Ness Brunsell & Sperry,,,,,3.06,92161,,,,75250,,,,,,,,,
1996-1299,Alameda CFD No 1,None Submitted (http://cdiacdocs.sto.ca.gov/NoneSubmitted.pdf),SOLD,06/12/1996 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Mello-Roos,Community Facilities District,Harbor Bay,17035000,0,17035000,,Limited tax obligation bond,"Multiple Capital Improvements, Public Works",Special tax revenues,,7.368,NIC,,Federally Taxable,,08/01/2019 12:00:00 AM,N/A,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,,,Alameda Public Financing Authority,,,,,Jones Hall Hill & White,,,,First Trust of California NA,0,0,,,,69474,,,,,,,,,
1985-0076,Alameda County,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,02/01/1985 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Counties,County Government,Telecommunications,13020000,13020000,0,,Certificates of participation/leases,Equipment,General fund of issuing jurisdiction,,8.36,NIC,,,,,N/A,S:A+(p),NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,Grigsby & Associates,,,,Fiscal Funding,,,Stradling Yocca Carlson & Rauth,,,,,0.63,81740,,,,113925,,,,,,,,,
2005-0063,Oakland Redevelopment Agency,2005-0063.pdf (http://cdiacdocs.sto.ca.gov/2005-0063.pdf),SOLD,01/25/2005 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Cities,Redevelopment Agency,Central Dist,44360000,44360000,0,3386571,Tax allocation bond,"Redevelopment, Multiple Purposes",Tax increment,4.527,,TIC,,,09/01/2015 12:00:00 AM,09/01/2022 12:00:00 AM,NO,S:AAA,M:Aaa,F:AAA,NOT RATED,Ins,Ambac,Neg,Unknown,Oakland Joint Powers Financing Authority,,,,The PFM Group/Public Financial Management Inc,,,Jones Hall A Professional Law Corp,,,,The Bank of New York Trust Company,2.8,1244071,,,,272561,,,,,,,,,
